Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
42,"102,117","100,219","102,808","102,771","110,807","107,931","107,550","107,940","110,019","111,888","114,177","111,541","115,948","121,987","121,577","126,289","130,570"
43,"103,789","101,363","99,503","102,028","101,995","110,051","107,098","106,746","107,045","109,231","111,043","113,250","110,657","120,129","121,233","121,090","125,809"
44,"105,445","102,890","100,552","98,680","101,200","101,220","109,259","106,282","105,882","106,212","108,418","110,058","112,275","117,509","119,358","120,711","120,523"
45,"106,981","104,573","102,003","99,781","97,756","100,394","100,384","108,415","105,359","105,053","105,264","107,362","109,050","115,712","116,732","118,701","120,098"
46,"105,809","106,034","103,666","101,085","98,974","96,969","99,555","99,574","107,636","104,442","104,130","104,308","106,415","112,510","114,910","116,060","118,014"
47,"105,249","104,699","105,047","102,715","100,168","98,066","96,092","98,655","98,721","106,729","103,560","103,106","103,339","110,016","111,620","114,174","115,387"
48,"109,065","104,035","103,535","103,975","101,714","99,242","97,128","95,207","97,773","97,845","105,800","102,551","102,072","107,859","109,148","110,865","113,430"
49,"96,290","107,719","102,814","102,309","102,815","100,726","98,262","96,206","94,257","96,879","96,937","104,784","101,469","104,087","106,978","108,329","110,117"
50,"92,509","94,997","106,295","101,412","101,027","101,706","99,657","97,240","95,211","93,296","95,988","95,874","103,699","105,150","103,099","106,133","107,384"
51,"86,187","91,163","93,647","104,874","100,062","99,779","100,524","98,548","96,123","94,249","92,283","94,999","94,747","100,210","104,108","102,142","105,248"
52,"79,940","84,872","89,725","92,239","103,338","98,680","98,501","99,295","97,425","95,081","93,121","91,168","93,796","96,318","99,137","103,109","101,125"
53,"74,976","78,660","83,492","88,301","90,823","101,895","97,422","97,167","97,997","96,331","93,953","91,918","89,911","95,124","95,303","98,123","102,122"
54,"72,756","73,512","77,173","81,956","86,825","89,371","100,327","95,991","95,806","96,769","95,121","92,710","90,536","93,431","94,080","94,244","97,110"
55,"65,612","71,318","72,041","75,572","80,426","85,335","87,771","98,858","94,456","94,448","95,469","93,779","91,241","94,170","92,341","93,001","93,175"
56,"63,650","64,194","69,803","70,526","74,046","78,922","83,753","86,243","97,304","92,973","93,017","94,038","92,226","91,129","92,964","91,203","91,950"
57,"60,586","62,135","62,721","68,274","68,913","72,552","77,359","82,234","84,671","95,790","91,357","91,449","92,323","92,019","89,802","91,661","89,958"
58,"59,700","59,001","60,614","61,242","66,623","67,356","71,069","75,799","80,608","83,114","94,084","89,712","89,432","92,468","90,631","88,494","90,351"
59,"54,470","58,075","57,307","59,015","59,708","65,113","65,822","69,508","74,126","79,042","81,429","92,324","87,653","91,626","90,982","89,216","87,166"
60,"47,814","52,841","56,282","55,542","57,384","58,145","63,544","64,279","67,816","72,427","77,300","79,636","90,154","89,155","89,944","89,364","87,665"
61,"46,457","46,305","51,119","54,575","53,749","55,773","56,723","61,913","62,669","66,260","70,737","75,492","77,460","87,402","87,350","88,247","87,751"
62,"36,439","44,991","44,757","49,495","52,899","52,132","54,184","55,241","60,254","61,057","64,609","68,941","73,237","79,972","85,498","85,555","86,443"
