Возраст,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
42,"109,199","106,410","110,350","109,981","116,536","115,167","116,615","116,800","117,969","120,464","121,485","117,686","122,817","126,633","124,928","128,931","132,419"
43,"113,009","108,982","106,245","110,109","109,665","116,233","114,811","116,170","116,321","117,472","119,922","120,837","117,175","125,390","126,189","124,669","128,684"
44,"113,793","112,694","108,717","105,913","109,805","109,358","115,853","114,444","115,752","115,821","116,935","119,281","120,293","123,793","124,980","125,883","124,418"
45,"116,509","113,461","112,437","108,421","105,559","109,517","109,000","115,435","113,990","115,261","115,307","116,360","118,698","123,522","123,362","124,662","125,628"
46,"116,606","116,138","113,160","112,111","108,085","105,230","109,146","108,645","114,978","113,565","114,708","114,697","115,796","120,843","123,094","123,020","124,407"
47,"116,488","116,138","115,751","112,783","111,702","107,751","104,820","108,698","108,248","114,517","113,005","114,124","114,115","118,784","120,408","122,726","122,685"
48,"119,696","116,018","115,719","115,346","112,398","111,343","107,295","104,344","108,223","107,786","113,915","112,398","113,495","116,288","118,371","120,011","122,428"
49,"109,202","119,177","115,456","115,211","114,825","111,950","110,840","106,861","103,860","107,746","107,229","113,371","111,836","113,982","115,850","117,981","119,654"
50,"105,628","108,606","118,564","114,888","114,648","114,302","111,391","110,349","106,311","103,302","107,193","106,650","112,737","115,390","113,496","115,446","117,654"
51,"98,633","105,034","108,029","117,846","114,277","114,094","113,655","110,814","109,798","105,779","102,723","106,605","106,022","110,101","114,864","113,095","115,081"
52,"94,024","98,014","104,375","107,346","117,102","113,627","113,437","113,072","110,229","109,219","105,154","102,124","105,912","107,482","109,587","114,451","112,660"
53,"89,035","93,345","97,393","103,616","106,556","116,403","112,890","112,732","112,417","109,559","108,568","104,480","101,426","106,658","106,965","109,162","114,063"
54,"87,844","88,269","92,576","96,580","102,781","105,775","115,580","112,109","111,958","111,662","108,800","107,884","103,687","104,307","106,122","106,505","108,732"
55,"81,025","86,936","87,366","91,653","95,698","102,011","104,961","114,751","111,163","111,119","110,788","108,035","107,075","106,036","103,758","105,672","106,024"
56,"79,726","80,271","86,124","86,543","90,894","94,966","101,226","104,163","113,903","110,332","110,260","109,996","107,167","105,970","105,437","103,246","105,172"
57,"76,748","78,969","79,520","85,319","85,801","90,219","94,179","100,442","103,427","113,073","109,487","109,372","109,097","105,803","105,334","104,827","102,697"
58,"77,540","75,988","78,207","78,749","84,545","85,060","89,524","93,455","99,665","102,706","112,191","108,618","108,325","108,942","105,121","104,758","104,292"
59,"71,182","76,672","75,019","77,329","77,916","83,742","84,223","88,701","92,692","98,836","101,823","111,381","107,559","109,512","108,169","104,532","104,187"
60,"64,619","70,242","75,633","74,016","76,404","77,097","82,847","83,435","87,857","91,878","97,977","100,882","110,165","109,147","108,745","107,403","103,910"
61,"61,788","63,710","69,269","74,616","73,013","75,507","76,243","81,988","82,576","87,062","90,934","97,034","99,629","109,463","108,334","108,059","106,742"
62,"50,314","60,790","62,762","68,314","73,659","72,071","74,618","75,430","81,066","81,672","86,146","90,014","95,792","102,764","108,483","107,489","107,201"
